DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	CHK__1_1_1	DAQM_T_1_1_1	VIN_1_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	Relay_1_1_1	Relay_2_1_1	Relay_3_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHFSENS_3_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWC_4_1_1	SWC_5_1_1	SWC_6_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TCNR4_C_1_1_1	TC_1_1_1	TSENSOR_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TS_4_1_1	TS_5_1_1	TS_6_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[OTHER]	[V]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[C]	[K]	[C]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	091
DATA	not_enough_data	2024-08-01	00:00:00	214	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	171
DATA	2024-07-31T233000_smart3-01133.ghg	2024-08-01	00:00:00	214	0	18000	18000	-0.0378793	1	NaN	-56.0584	1	NaN	14.1376	1	NaN	2.25179	1	NaN	0.320283	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.72418e-11	3.69733e-13	NaN	NaN	13.1756	405.589	407.834	-0.1	0	178.823	5.50477	5.53524	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.349	294.493	79537.1	0.93896	1008.55	0.0307833	0.0207544	0.00322239	437.95	2532.27	0.00343187	17.2948	2094.32	268.651	-2.44807	-0.948616	-0.116485	2.62802	7.57056e-15	2.06759e-15	2.62802	5.30095	14.2443	201.181	-2.54042	NaN	0.200853	0.382561	10.7003	0.28317	-3.9652	0.294727	0	45.9585	-6.97438	15.7761	39.2846	59.9115	84.0268	125.887	-0.037163	1.01927	-53.1355	1.0404	13.4382	1.16433	4.09706	1.16433	0.304438	1.16433	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	18	1	0	7	10	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.330841	0.267426	0.166855	0.400903	0.00308611	61.6839	NaN	NaN	-0.0561101	0.00409706	0.304438	NaN	NaN	12.219	405.588	5.5045	-4.5712	96.6367	0.482817	116.533	26.0346	12.2296	15	12.8177	24.8052	321.155	401.895	-0.000710083	0	17.8021	-86.7641	0.00000450779	0.00000441115	0.00000307975	0.0000594722	0.000054136	0.0000539363	-11.7533	-9.583	32.0362	0.189933	0.257	0.261667	0.256	0.23	0.0493667	-11.6827	-5.65859	295.082	23.8215	289.05	21.4574	291.82	291.77	291.763	292.45	291.45	291.05	291.394	291.772	291.23	000
DATA	2024-08-01T000000_smart3-01133.ghg	2024-08-01	00:30:00	214.0208	0	18000	18000	-0.0302783	1	NaN	-51.1086	1	NaN	13.99	1	NaN	2.09219	1	NaN	0.316805	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.26228e-11	1.12328e-12	NaN	NaN	13.2158	406.262	408.273	0	0	160.274	4.92691	4.95131	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.621	294.055	79529.2	0.940473	1008.22	0.0307406	0.0205289	0.00288814	391.938	2465.05	0.00307094	15.8998	2073.11	267.188	-2.38674	-0.799254	-0.137733	2.52077	8.23923e-15	7.00848e-15	2.52077	5.41989	16.5279	198.514	-3.13214	NaN	0.179429	0.379012	8.36591	0.362184	-3.65323	0.300398	1	37.8069	17	37	80	158	375	1959	-0.0296417	1.02148	-48.1921	1.04477	12.8814	1.18142	3.71242	1.18142	0.291701	1.18142	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	13	3	0	10	9	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.302852	0.279455	0.175717	0.30515	0.00169604	27.6862	NaN	NaN	-0.0508244	0.00371242	0.291701	NaN	NaN	12.22	406.262	4.927	-6.02804	96.6466	0.486849	134.433	25.7633	12.2174	15	12.8177	24.7778	320.256	401.305	-0.000671433	0	16.054	-87.4467	0.0164751	0.0162828	0.0164557	0.0000618206	0.000056547	0.0000539363	-11.6252	-9.28453	32.6717	0.189167	0.256833	0.260967	0.2559	0.23	0.0494667	-12.4764	-6.07777	294.858	23.7597	288.809	21.4238	291.613	291.567	291.583	292.377	291.45	291.05	291.232	291.603	291.069	047
DATA	2024-08-01T003000_smart3-01133.ghg	2024-08-01	01:00:00	214.0416	0	18000	18000	-0.0197981	1	NaN	-48.7288	1	NaN	5.56238	1	NaN	1.66773	1	NaN	0.125909	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.43484e-11	6.4959e-13	NaN	NaN	13.2264	406.023	408.003	0	0	158.086	4.85291	4.87658	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.305	293.632	79525.2	0.941807	1008.17	0.0306979	0.00815892	0.00284872	386.033	2401.66	0.00302474	16.0736	2015.63	266.99	-2.50701	-0.703127	-0.145726	2.60781	6.40252e-15	4.10908e-15	2.60781	5.1433	19.1627	195.667	-3.20338	NaN	0.144988	0.385334	4.62923	0.654536	-8.76041	0.353963	1	61.7005	27	61	133	270	654	3603	-0.019196	1.03136	-45.5137	1.06448	5.37038	1.25801	3.12261	1.25801	0.121563	1.25801	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	22	5	0	9	5	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.304275	0.288514	0.177879	0.219782	0.00134024	5.47583	NaN	NaN	-0.0479342	0.00312261	0.121563	NaN	NaN	12.2137	406.023	4.85292	-6.22146	96.6525	0.481611	127.633	25.4344	12.2294	15	12.816	24.6838	320.737	400.523	-0.000610061	0	16.1645	-85.8474	0.00000484365	0.00000457289	0.00000348958	0.0000625353	0.0000572808	0.0000539363	-11.8615	-9.3358	32.7658	0.189	0.256033	0.2602	0.2555	0.23	0.0493667	-11.6943	-5.633	294.339	23.19	288.794	20.8352	291.47	291.383	291.417	292.35	291.45	291.047	291.08	291.435	290.936	070
DATA	2024-08-01T010000_smart3-01133.ghg	2024-08-01	01:30:00	214.0624	0	18000	18000	-0.0128126	2	NaN	-49.4584	2	NaN	5.72225	2	NaN	2.23084	2	NaN	0.129514	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.22925e-12	3.88352e-14	NaN	NaN	13.2191	405.686	407.675	0	0	158.974	4.87881	4.90273	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.271	293.524	79517.8	0.942056	1008.18	0.0306894	0.00839253	0.0028647	388.056	2385.71	0.00304091	16.2659	1997.65	267.058	-2.59791	-0.540924	-0.140064	2.65732	-2.14978e-14	2.44287e-16	2.65732	5.31316	22.6697	191.762	-3.02138	NaN	0.116622	0.361512	2.37342	1.27664	-8.64317	0.446522	1	105.35	46	103	227	460	1113	6122	-0.0122069	1.04962	-44.7276	1.09987	4.978	1.39422	3.24446	1.39422	0.11267	1.39422	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	8	8	0	14	8	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.319871	0.250399	0.152755	0.283495	0.00210498	3.25412	NaN	NaN	-0.0470933	0.00324446	0.11267	NaN	NaN	12.21	405.686	4.87883	-6.15285	96.6546	0.465308	129.4	25.1003	12.2301	15	12.814	24.7262	319.299	398.978	-0.000670127	0	16.3844	-85.7624	0.00000512714	0.00000489726	0.00000358563	0.0000625353	0.0000572808	0.0000539363	-12.2197	-9.65918	32.4406	0.189	0.256	0.259967	0.255167	0.23	0.0493333	-11.3715	-5.28823	294.164	22.9547	288.474	20.5683	291.31	291.203	291.28	292.253	291.45	291.047	290.935	291.253	290.799	091
DATA	2024-08-01T013000_smart3-01133.ghg	2024-08-01	02:00:00	214.0833	0	18000	18000	0.0113915	1	NaN	-33.5938	1	NaN	-48.5054	1	NaN	-37.6819	1	NaN	-1.09759	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.14014e-11	5.19773e-13	NaN	NaN	13.5624	415.946	418.13	0	0	170.269	5.222	5.24941	-0.4	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.003	293.281	79504.5	0.942557	1008.36	0.0306691	-0.0711238	0.00306824	415.284	2350.13	0.00325523	17.6707	1934.85	267.948	-2.61124	-0.325774	-0.0923768	2.6331	1.62312e-14	3.05266e-15	2.6331	4.77143	27.1766	187.111	-2.01051	NaN	0.109935	0.292793	2.9268	1.03526	0.692578	0.321513	1	108.19	48	107	237	485	1190	6761	0.0109012	1.04498	-33.0082	1.09097	-34.8117	1.36004	-26.169	1.36004	-0.787726	1.36004	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800001199	800001199	800001199	899999999	899999999	89999	89999	89	89	5	17	1	2	1	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92	0.288184	0.199165	0.0982353	0.324332	2.67612	2372.56	NaN	NaN	-0.0347294	-0.026169	-0.787726	NaN	NaN	12.21	419.62	5.30928	-5.47391	95.1579	0.46361	134.567	24.8706	12.23	15	12.8134	24.7213	319.331	397.378	-0.000687886	0	16.6062	-84.3785	0.00000523355	0.00000503736	0.0000035006	0.0000625353	0.0000572808	0.0000539363	-12.5315	-9.87361	31.8531	0.1888	0.2558	0.259033	0.255033	0.23	0.0494667	-11.7988	-5.46728	294.07	22.9603	288.121	20.589	291.18	291.023	291.123	292.207	291.507	291.033	290.804	291.089	290.658	014
DATA	2024-08-01T020000_smart3-01133.ghg	2024-08-01	02:30:00	214.1041	0	18000	18000	-0.0118058	1	NaN	-29.3952	1	NaN	-365.396	1	NaN	-72.4593	1	NaN	-8.19871	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.38059e-11	-1.30686e-12	NaN	NaN	20.4207	607.618	612.806	0.4	0	284.491	8.46503	8.5373	0.4	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.388	284.503	79494.4	0.970319	1009.93	0.029755	-0.531276	0.00512652	673.103	1339.8	0.00528333	50.2392	666.693	274.49	-2.45899	-0.329414	-0.0989206	2.48293	-2.93228e-14	-4.59367e-15	2.48293	5.53079	26.5792	187.63	-2.28328	NaN	0.110304	0.367244	3.37938	0.896615	0.0804474	0.271945	1	94.4138	42	93	207	422	1036	5878	-0.0112218	1.05204	-42.5622	1.10451	-255.66	1.4119	-46.2666	1.4119	-5.73647	1.4119	NaN	NaN	NaN	NaN	800000099	800001199	800000099	800001199	800001199	800001199	899999999	899999999	89999	89999	89	89	5	15	1	4	114	92	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38	0.365028	0.244745	0.124715	1.02476	6.06997	27548.5	NaN	NaN	-0.0434329	-0.0462666	-5.73647	NaN	NaN	12.2129	685.49	10.9845	0.0675154	35.312	-0.181617	141.4	23.5284	12.2311	15	12.8137	24.6758	335.346	382.224	-0.000572454	0.0012	19.4169	-78.2767	0.00000588851	0.0000059437	0.00000410747	0.0000625353	0.0000572808	0.0000539363	-12.8729	-10.0413	30.8783	0.189767	0.255867	0.2616	0.255	0.229733	0.0498333	-25.2996	6.09993	292.874	17.7204	284.435	16.2218	291.007	290.857	291	292.15	291.55	291.043	290.631	290.914	290.437	094
DATA	2024-08-01T023000_smart3-01133.ghg	2024-08-01	03:00:00	214.1249	0	18000	18000	-0.0254168	1	NaN	-57.5508	1	NaN	-84.8506	1	NaN	-60.0756	1	NaN	-1.91072	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.87871e-11	9.57792e-13	NaN	NaN	17.3077	521.787	525.606	0.3	0	240.992	7.26537	7.31854	-0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.352	288.244	79490.6	0.958115	1009.35	0.0301478	-0.123814	0.00434267	577.683	1710.49	0.00453252	33.7731	1132.8	272.38	-2.66033	-0.0893891	-0.0634421	2.66258	1.98943e-14	3.97437e-15	2.66258	5.40363	32.0333	181.924	-1.36533	NaN	0.162874	0.388525	5.55626	0.545331	0.67826	0.365375	1	51.202	23	50	110	221	532	2890	-0.0246827	1.02974	-58.437	1.06131	-65.8408	1.2458	-44.5538	1.2458	-1.48264	1.2458	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800001199	800001199	800001199	899999999	899999999	89999	89999	89	89	22	29	6	1	13	19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77	0.457202	0.206571	0.113277	0.750589	21.9953	9784.79	NaN	NaN	-0.0604265	-0.0445538	-1.48264	NaN	NaN	12.22	538.009	7.51693	-1.48046	76.4642	-0.428712	112.3	20.3268	12.2328	15	12.8149	24.6624	335.214	373.704	-0.000666993	0	18.8527	-65.5093	0.00000800327	0.00000810455	0.00000499479	0.0000625353	0.0000572808	0.0000539363	-20.3957	-27.3216	24.3203	0.371733	0.415633	0.4602	0.255	0.2299	0.0499333	-9.29443	17.725	292.995	12.872	282.862	12.3525	290.033	290.093	290	292.057	291.55	291.047	289.215	290.105	288.558	057
DATA	2024-08-01T030000_smart3-01133.ghg	2024-08-01	03:30:00	214.1458	0	18000	18000	-0.0187166	1	NaN	-31.3725	1	NaN	5.96646	1	NaN	1.72673	1	NaN	0.134989	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.32905e-11	-8.03557e-13	NaN	NaN	13.2788	407.093	409.208	0	0	168.592	5.16859	5.19544	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.248	293.118	79490.9	0.942937	1008.33	0.0306574	0.00874728	0.00303802	410.966	2326.64	0.00322187	17.6635	1915.68	267.811	-2.90883	-0.0170105	-0.0591028	2.90948	-3.76287e-14	-4.76629e-15	2.90948	5.31698	34.1472	180.335	-1.16398	NaN	0.140888	0.343878	6.59559	0.459398	-5.25814	0.234202	1	69.402	31	68	151	308	751	4209	-0.0182285	1.02678	-29.4252	1.05557	5.5366	1.22358	2.58795	1.22358	0.125263	1.22358	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	10	29	2	3	0	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.414477	0.186113	0.0871663	0.244492	0.0022007	12.0425	NaN	NaN	-0.0309481	0.00258795	0.125263	NaN	NaN	12.22	407.092	5.16852	-5.40223	96.736	1.28992	109.9	20.4776	12.2326	15	12.8121	24.5534	328.284	377.181	-0.00075683	0	17.5286	-50.7542	0.00000796738	0.00000796306	0.00000503413	0.0000625353	0.0000572808	0.0000539363	-29.9926	-33.1165	28.4207	0.3887	0.415433	0.4529	0.255233	0.23	0.0499	6.9984	8.85569	293.989	18.4494	284.125	16.4325	289.167	289.623	288.85	292.007	291.55	291.05	288.435	289.654	288.367	048
DATA	2024-08-01T033000_smart3-01133.ghg	2024-08-01	04:00:00	214.1666	0	18000	18000	-0.00410522	2	NaN	-6.90424	0	NaN	0.167339	2	NaN	0.262809	1	NaN	0.00378554	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.79035e-11	-2.25154e-13	NaN	NaN	13.2851	407.095	409.19	0.2	0	167.073	5.1196	5.14594	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.315	293.001	79496.6	0.943399	1008.3	0.030643	0.000245303	0.00301065	407.1	2309.79	0.00319128	17.625	1902.69	267.686	-1.36871	0.176257	-0.0288382	1.38031	-9.30179e-15	-1.34764e-15	1.38031	3.19748	47.9501	172.662	-1.19714	NaN	0.065966	0.227231	3.07643	0.984908	-41.2591	0.11003	1	86.245	38	85	187	379	921	5114	-0.0039787	1.0318	-6.47739	1.06478	0.278805	1.25332	0.471041	1.25332	0.00630714	1.25332	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000199	801100199	899999999	899999999	89999	89999	89	89	13	42	7	16	12	24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.340364	0.0962512	0.0178463	0.124597	0.00197593	28.5999	NaN	NaN	-0.00680949	0.000471041	0.00630714	NaN	NaN	12.22	407.094	5.11949	-5.52983	96.7603	3.53866	98.1667	21.7409	12.2319	15	12.8092	24.5904	333.594	378.116	-0.00072288	0	17.5623	-45.1716	0.00000723167	0.00000690152	0.00000455155	0.0000625353	0.0000572808	0.0000539363	-28.8003	-27.1589	-18.0175	0.373233	0.4022	0.436067	0.2553	0.23	0.0497333	-0.991543	-0.341347	294.017	20.6135	283.986	18.8221	289.15	289.427	288.85	291.92	291.55	291.05	288.475	289.495	288.528	166
