DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	LOGGERPOWER_1_1_1	LOGGERTEMP_1_1_1	VIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	PTVOUT_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SHFHEATER_1_1_1	SHFSENS1_1_1_1	SHFSENS2_2_1_1	SHFSENS3_3_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TCNR01_1_1_0	TCNR01_1_1_6	TCNR01_1_1_66	TCNR01_1_1_7	TRN_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	VERSION_1_1_1	WD_1_1_1	WS_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[OTHER]	[m]	[%]	[W/m^2]	[W/m^2]	[W/m^2]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[C]	[C]	[C]	[C]	[C]	[K]	[K]	[K]	[OTHER]	[Degrees_past_North]	[m/s]	053
DATA	2022-06-22T233000_smart3-00184.ghg	2022-06-23	00:00:00	174	0	18000	18000	-0.121454	0	NaN	-61.0501	0	NaN	37.3108	0	NaN	6.71489	0	NaN	0.843187	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.11133e-11	5.98708e-12	NaN	NaN	10.3459	277.966	283.789	0	0	763.647	20.517	20.9468	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.218	291.947	90342.3	1.0697	1016.83	0.0268672	0.0546385	0.0137609	1854.05	2163.07	0.0128642	85.714	309.016	289.468	-1.15774	3.43805	0.0373754	3.62794	1.48948e-14	7.84012e-15	3.62794	7.28131	71.3776	108.611	0.590276	NaN	0.336956	0.593033	50.9346	0.0702274	-1.63626	0.166571	0	44.6602	-6.77735	15.3304	38.1748	58.219	81.653	122.331	-0.120043	1.01175	-57.5241	1.02513	38.4712	1.1188	7.57017	1.1188	0.869412	1.1188	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	11	1	1	4	4	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.639798	0.348978	0.19729	0.181634	0.00392748	38.9265	NaN	NaN	-0.0528857	0.00757017	0.869412	NaN	NaN	12.385	277.965	20.517	16.2453	107.167	-0.108781	1	23.4033	11.8697	29787300	29787300	-15614.7	-2.22877	0	78.414	-58.0631	23.7007	-21.3367	-7.87732	0	60	60	60	60.1	60.4	NaN	0.39775	0.293286	-3.97796	0.424637	292.821	NaN	NaN	NaN	NaN	-5060.16	291.35	293.65	295.95	5	38.6936	3.50539	000
DATA	2022-06-23T000000_smart3-00184.ghg	2022-06-23	00:30:00	174.0208	0	18000	18000	-0.114039	0	NaN	-71.3358	0	NaN	41.9114	0	NaN	6.16605	0	NaN	0.946415	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.83872e-11	4.98916e-12	NaN	NaN	10.4459	280.01	285.85	0	0	762.079	20.428	20.854	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.66	291.133	90297.5	1.0722	1016.77	0.0268056	0.0613277	0.0137327	1845.09	2055.53	0.012808	89.7626	210.433	289.392	-0.905095	3.35189	0.043098	3.47221	3.48386e-14	6.54677e-15	3.47221	6.19053	74.8862	105.111	0.711189	NaN	0.32613	0.50738	39.5071	0.0905407	-1.70206	0.200642	0	46.6583	-7.08058	16.0163	39.8828	60.8238	85.3062	127.804	-0.112663	1.01222	-67.2666	1.026	43.2876	1.12365	7.34108	1.12365	0.977492	1.12365	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	12	3	1	1	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.545504	0.303596	0.16566	0.143549	0.00645597	62.3456	NaN	NaN	-0.0617027	0.00734108	0.977492	NaN	NaN	12.375	280.009	20.4282	16.1692	106.429	-1.56875	1	22.4967	11.8599	29555100	29555200	-15614.7	-2.21707	0.0001	82.9528	-50.1927	2.99125	-22.7941	-7.87732	0	60	60	60	60.1	60.4	NaN	0.39775	0.293286	-2.70668	1.38976	292.079	NaN	NaN	NaN	NaN	-5050.1	291.35	293.65	295.95	5	41.8595	3.27387	187
DATA	2022-06-23T003000_smart3-00184.ghg	2022-06-23	01:00:00	174.0416	0	18000	18000	-0.0894268	0	NaN	-43.7639	0	NaN	19.2719	0	NaN	6.7145	0	NaN	0.43509	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.18283e-12	2.31921e-13	NaN	NaN	10.5403	282.373	288.305	0	0	768.027	20.5754	21.0077	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.202	290.909	90280.8	1.07276	1016.85	0.02679	0.0281938	0.0138399	1858.07	2026.76	0.0129011	91.6764	168.7	289.502	-0.919287	2.92058	0.0237859	3.06194	1.10121e-14	3.01969e-16	3.06194	5.57474	72.5031	107.472	0.445092	NaN	0.288724	0.376675	44.678	0.0800619	-2.27087	0.138955	0	48.2479	-7.32181	16.562	41.2416	62.896	88.2126	132.159	-0.0884474	1.01107	-41.7256	1.02324	21.1784	1.11278	7.22988	1.11278	0.478134	1.11278	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	12	3	0	5	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.429726	0.204218	0.119406	0.0662664	0.00522807	12.6026	NaN	NaN	-0.0382511	0.00722988	0.478134	NaN	NaN	12.35	282.373	20.5754	16.2796	107.216	-1.74819	1	21.55	11.8667	27672000	27672000	-15614.7	-2.122	0	84.7078	-52.5717	-23.2466	-40.4706	-7.87732	0	60	60	60	60.1	60.4	NaN	0.39775	0.293286	-1.22468	2.05739	291.729	NaN	NaN	NaN	NaN	-4971.94	291.35	293.65	295.95	5	39.8367	2.67101	147
DATA	2022-06-23T010000_smart3-00184.ghg	2022-06-23	01:30:00	174.0624	0	18000	18000	-0.0537522	0	NaN	-28.4939	0	NaN	7.09265	0	NaN	5.32535	0	NaN	0.160046	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.60699e-11	-1.14342e-12	NaN	NaN	10.7858	288.496	294.543	0	0	767.446	20.5274	20.9576	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.805	290.386	90260.8	1.07448	1016.81	0.0267477	0.010371	0.0138294	1853.32	1960.91	0.0128708	94.5132	107.59	289.462	-0.877419	2.24737	0.0435141	2.41297	-3.89554e-14	-1.48991e-15	2.41297	4.68067	68.2764	111.327	1.0333	NaN	0.223666	0.29062	31.8959	0.112146	-4.01738	0.116604	0	47.3674	-7.18819	16.2597	40.4889	61.7482	86.6027	129.747	-0.0531699	1.01095	-27.4912	1.0224	8.99204	1.11227	5.61721	1.11227	0.202906	1.11227	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	14	7	1	8	5	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.365015	0.14119	0.0750341	0.0984637	0.00969552	9.57578	NaN	NaN	-0.0251627	0.00561721	0.202906	NaN	NaN	12.35	288.495	20.5275	16.2395	106.639	-1.43443	1	20.99	11.8811	25440000	25440000	-15614.7	-2.00935	0	87.4898	-54.0358	-24.2008	-33.4428	-7.87732	0	60	60	60	60.1	60.4	NaN	0.39775	0.293286	-1.56825	2.0804	291.259	NaN	NaN	NaN	NaN	-4873.99	291.35	293.65	295.95	5	36.1636	1.77221	231
DATA	2022-06-23T013000_smart3-00184.ghg	2022-06-23	02:00:00	174.0833	0	18000	18000	-0.0321792	0	NaN	-20.1938	0	NaN	-0.250741	0	NaN	6.23849	0	NaN	-0.00565514	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.92823e-11	2.0646e-12	NaN	NaN	10.8431	289.586	295.622	0.1	0	764.51	20.4177	20.8433	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.509	289.865	90236.5	1.07616	1016.74	0.026707	-0.000366453	0.0137765	1842.92	1897.24	0.0128015	97.1367	54.3229	289.374	-0.839106	1.86725	0.0382473	2.04748	-9.66169e-16	2.70055e-15	2.04748	3.78093	65.8839	114.198	1.07036	NaN	0.172922	0.154086	20.7931	0.172028	80.5367	0.106729	1	32.2468	14	30	64	124	281	1331	-0.0317988	1.01196	-19.739	1.02425	1.70209	1.12369	6.16762	1.12369	0.0383885	1.12369	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	14	6	1	10	5	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.156494	0.0995541	0.0521235	0.0410715	0.00670441	2.33566	NaN	NaN	-0.0180401	0.00616762	0.0383885	NaN	NaN	12.35	289.586	20.4177	16.1513	105.606	-0.748223	1	20.5433	11.8762	24784600	24784700	-15614.7	-1.97616	0	90.885	-54.1259	-23.5138	-31.2185	-7.87732	0	60	60	60	60.1	60.4	NaN	0.39775	0.293286	-2.27965	1.6929	290.696	NaN	NaN	NaN	NaN	-4843.43	291.35	293.65	295.95	5	33.0931	1.13327	163
DATA	2022-06-23T020000_smart3-00184.ghg	2022-06-23	02:30:00	174.1041	0	18000	18000	-0.057305	0	NaN	-24.5796	0	NaN	-8.30213	1	NaN	5.81471	0	NaN	-0.187211	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.19446e-11	1.55394e-12	NaN	NaN	10.861	289.96	296.039	0.1	0	769.087	20.5327	20.9631	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.544	289.685	90212.4	1.0765	1016.8	0.0266974	-0.0121313	0.013859	1852.8	1875.58	0.0128741	98.7853	22.7829	289.457	-0.896529	2.27008	0.0186225	2.44077	-8.6473e-15	2.0205e-15	2.44077	4.75463	68.0781	111.551	0.437157	NaN	0.230722	0.257482	40.5705	0.0881675	2.96064	0.0973276	0	48.5668	-7.37019	16.6714	41.5141	63.3117	88.7955	133.032	-0.056715	1.0104	-24.5384	1.0212	-4.96107	1.10617	6.06679	1.10617	-0.111871	1.10617	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	2	3	0	6	6	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.274106	0.165853	0.0750049	0.040524	0.00399681	33.1956	NaN	NaN	-0.022418	0.00606679	-0.111871	NaN	NaN	12.325	289.96	20.5327	16.2349	104.448	-0.659821	1	20.08	11.8781	23284600	23284600	-15614.7	-1.90026	0	93.5908	-54.7067	-23.4526	-30.1395	-7.87732	0	60	60	60	60.1	60.4	NaN	0.39775	0.293286	-2.36496	1.55525	290.515	NaN	NaN	NaN	NaN	-4773.62	291.35	293.65	295.95	5	34.7243	1.67149	238
DATA	2022-06-23T023000_smart3-00184.ghg	2022-06-23	03:00:00	174.1249	0	18000	18000	-0.0767558	0	NaN	-29.2035	0	NaN	-7.61194	1	NaN	7.7673	0	NaN	-0.171737	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.25375e-11	-2.41538e-12	NaN	NaN	10.7135	286.619	292.85	0	0	795.303	21.2769	21.7394	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.916	290.226	90192.8	1.07395	1017.23	0.0267532	-0.0111286	0.0143314	1919.54	1941.19	0.0133445	98.8844	21.6556	290.014	-0.888055	2.89264	0.0265024	3.026	-7.7914e-15	-3.03706e-15	3.026	5.32431	72.8811	107.067	0.501816	NaN	0.26734	0.359856	53.121	0.0673369	3.83654	0.0999921	0	45.5828	-6.91736	15.6471	38.9635	59.4217	83.3398	124.858	-0.0759452	1.01067	-28.9986	1.02234	-3.79124	1.10865	7.94059	1.10865	-0.0855365	1.10865	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	18	3	2	3	2	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.386782	0.214929	0.118	0.0402155	0.0081885	13.1237	NaN	NaN	-0.0265443	0.00794059	-0.0855365	NaN	NaN	12.3149	286.618	21.2769	16.7914	104.087	-0.65113	1	19.97	11.8731	21017800	21017900	-15614.7	-1.78481	0	94.3093	-55.8634	-23.034	-29.7637	-7.87732	0	60	60	60	60.1	60.4	NaN	0.39775	0.293286	-2.41997	1.5379	291.081	NaN	NaN	NaN	NaN	-4659.77	291.35	293.65	295.95	5	39.8432	2.53071	175
DATA	2022-06-23T030000_smart3-00184.ghg	2022-06-23	03:30:00	174.1458	0	18000	18000	-0.0550319	0	NaN	-22.4341	0	NaN	-6.09522	0	NaN	6.08173	0	NaN	-0.1375	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.35353e-11	3.97216e-12	NaN	NaN	10.757	287.741	294.018	0	0	798.137	21.3496	21.8153	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.756	290.094	90164.7	1.07408	1017.27	0.0267493	-0.00891002	0.0143824	1925.5	1924.97	0.0133905	100	0	290.063	-0.503305	2.42517	0.0266171	2.47699	1.62861e-14	4.9768e-15	2.47699	4.44322	78.3421	101.724	0.615699	NaN	0.226355	0.257185	41.9641	0.0852395	3.68061	0.0907082	0	45.9862	-6.97858	15.7856	39.3083	59.9476	84.0774	125.963	-0.0544674	1.01036	-22.3166	1.02114	-3.13003	1.10571	6.22464	1.10571	-0.0706095	1.10571	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	18	5	1	13	4	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.268264	0.163355	0.08275	0.0429226	0.0044052	2.34611	NaN	NaN	-0.0204246	0.00622464	-0.0706095	NaN	NaN	12.29	287.741	21.3496	16.8403	103.169	-0.448548	1	19.87	11.8772	19475900	19475900	-15614.7	-1.70541	0	95.3275	-56.8171	-21.2804	-27.2548	-7.87732	0	60	60	60	60.1	60.4	NaN	0.39775	0.293286	-2.83954	1.26624	290.974	NaN	NaN	NaN	NaN	-4576.04	291.35	293.65	295.95	5	45.3192	1.77535	140
DATA	2022-06-23T033000_smart3-00184.ghg	2022-06-23	04:00:00	174.1666	0	18000	18000	-0.065727	0	NaN	-25.1538	0	NaN	-6.98356	0	NaN	6.14759	0	NaN	-0.157566	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.40851e-11	-1.0553e-12	NaN	NaN	10.699	286.456	292.739	0	0	801.608	21.4623	21.933	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.903	290.268	90135.3	1.07304	1017.34	0.026774	-0.0102103	0.014445	1935.03	1946.26	0.0134618	99.4231	11.2272	290.141	-0.584078	2.48848	0.0332878	2.55633	5.08447e-14	-1.31648e-15	2.55633	4.79408	76.9665	103.209	0.746111	NaN	0.247494	0.314575	48.9122	0.073131	3.60186	0.0931016	0	46.8146	-7.10429	16.0699	40.0164	61.0275	85.592	128.232	-0.0650685	1.01012	-25.0425	1.02068	-3.63862	1.10298	6.38456	1.10298	-0.0820963	1.10298	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	7	1	1	11	3	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.323365	0.211176	0.0946093	0.0362381	0.00387415	1.58523	NaN	NaN	-0.0229401	0.00638456	-0.0820963	NaN	NaN	12.285	286.457	21.4623	16.9182	103.417	-0.467039	1	19.72	11.8725	17884600	17884600	-15614.7	-1.62271	0	95.2278	-56.8814	-21.2269	-27.3404	-7.87732	0	60	60	60	60.1	60.4	NaN	0.39775	0.293286	-2.88662	1.34374	291.145	NaN	NaN	NaN	NaN	-4484.93	291.35	293.65	295.95	5	44.7956	1.79243	204
DATA	2022-06-23T040000_smart3-00184.ghg	2022-06-23	04:30:00	174.1874	1	18000	18000	-0.0774631	0	NaN	-24.42	0	NaN	-8.94578	0	NaN	5.72727	0	NaN	-0.201822	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.79732e-11	-1.33871e-12	NaN	NaN	10.8344	290.067	296.472	0	0	806.985	21.6053	22.0824	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.833	290.18	90112.1	1.07303	1017.42	0.0267729	-0.0130781	0.0145419	1947.42	1935.52	0.0135522	100	0	290.242	-1.02176	2.88866	0.00657979	3.06405	-1.1821e-14	-1.65891e-15	3.06405	5.48572	70.5639	109.48	0.123038	NaN	0.268684	0.364825	64.4524	0.0554983	2.72978	0.0832516	0	46.1725	-7.00686	15.8495	39.4676	60.1905	84.4181	126.474	-0.0766709	1.01033	-24.4093	1.02162	-5.42546	1.10501	5.9918	1.10501	-0.122402	1.10501	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	6	5	0	12	5	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.395822	0.218408	0.115421	0.0324055	0.0036656	10.2191	NaN	NaN	-0.0223586	0.0059918	-0.122402	NaN	NaN	12.28	290.067	21.6053	17.0188	102.343	-0.399969	1	19.7	11.8767	16120700	16120800	-15614.7	-1.52935	0	96.1459	-56.9117	-20.3897	-25.7624	-7.87732	0	60	60	60	60.1	60.4	NaN	0.39775	0.293286	-2.84047	1.13062	291.048	NaN	NaN	NaN	NaN	-4374.9	291.35	293.65	295.95	5	38.1395	2.57035	139
