DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	LOGGERPOWER_1_1_1	LOGGERTEMP_1_1_1	VIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	PTVOUT_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	SHFHEATER_1_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHF_1_1_1	SHF_2_1_1	SWC_2_1_1	SWC_3_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TC_1_1_1	TRN_1_1_1	TSENSOR_1_1_1	TS_2_1_1	TS_3_1_1	VERSION_1_1_1	WD_1_1_1	WS_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[OTHER]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[K]	[C]	[C]	[K]	[K]	[OTHER]	[Degrees_past_North]	[m/s]	048
DATA	2023-07-23T233000_smart3-00184.ghg	2023-07-24	00:00:00	205	0	18000	18000	-0.00388074	1	NaN	-4.97917	1	NaN	0.801012	1	NaN	8.0658	1	NaN	0.0181495	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.57756e-12	3.88447e-13	NaN	NaN	17.9126	486.8	499.259	0.1	0	918.25	24.9547	25.5934	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	298.867	294.655	90143	1.05574	1019.42	0.0271764	0.00117609	0.0165469	2250.1	2557.54	0.0156732	87.9789	307.444	292.543	-1.81652	0.0277317	0.0590549	1.81769	2.59787e-14	4.2303e-16	1.81769	2.50572	210.919	179.125	1.86181	NaN	0.0606287	0.0399236	3.63528	2.08402	-6.2161	0.0763078	1	466.715	205	457	1002	2020	4868	NaN	-0.00379319	1.02308	-4.72734	1.04639	1.0858	1.30533	6.38783	1.30533	0.0246024	1.30533	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	5	2	1	4	5	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0337164	0.0415001	0.00463061	0.0615927	0.126101	6.21993	NaN	NaN	-0.00439245	0.00638783	0.0246024	NaN	NaN	12.2028	486.8	24.9548	19.3192	94.0433	1888.68	1	25.6	11.815	381.156	-11055.1	-10.1383	0.0347459	0	86.7509	16195.4	0	60.1	60.4	-14.0316	-9.62127	0.338772	NaN	-2.54211	-4761.62	294.856	292.693	21.7273	21.8394	293.699	NaN	5	102.23	0.833032	207
DATA	2023-07-24T000000_smart3-00184.ghg	2023-07-24	00:30:00	205.0208	0	18000	18000	-0.0268456	0	NaN	-15.6132	0	NaN	6.11158	0	NaN	5.86062	1	NaN	0.138463	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.08303e-11	-1.12272e-12	NaN	NaN	17.1282	465.231	477.197	0.1	0	923.178	25.0751	25.7201	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	298.73	294.542	90157.1	1.05626	1019.48	0.0271618	0.00897239	0.0166357	2261.31	2539.94	0.0157496	89.0299	278.634	292.623	-1.61153	1.2591	0.111769	2.04814	-6.68107e-14	-1.21615e-15	2.04814	5.04075	245.185	141.999	3.12824	NaN	0.159423	0.475065	21.0803	0.359387	-2.55468	0.0909469	1	82.4656	36	80	172	342	803	4144	-0.0266092	1.00888	-15.031	1.01598	7.21264	1.10419	6.01283	1.10419	0.163408	1.10419	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	810101099	899999999	899999999	89999	89999	89	89	14	0	1	10	11	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.180133	0.737779	0.032217	0.0761266	0.146423	18.4989	NaN	NaN	-0.0139584	0.00601283	0.163408	NaN	NaN	12.1908	465.23	25.0751	19.399	93.9966	3191.08	1	25.0733	11.7982	389.298	-11056	-9.85243	0.0347317	0	88.1859	16205.4	0	60.1	60.4	-15.3075	-10.9032	0.338747	NaN	-1.55194	-4761.62	294.734	293.011	21.5739	21.6164	293.748	NaN	5	133.337	1.20206	101
DATA	2023-07-24T003000_smart3-00184.ghg	2023-07-24	01:00:00	205.0416	0	18000	18000	-0.00841314	0	NaN	-8.16376	0	NaN	1.81992	0	NaN	4.96547	0	NaN	0.0412201	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.028e-11	-5.4396e-13	NaN	NaN	17.4462	473.599	485.772	0.1	0	923.158	25.0602	25.7043	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	298.46	294.253	90120.3	1.05688	1019.47	0.0271462	0.00267106	0.0166353	2259.04	2495.26	0.0157401	90.5331	236.224	292.607	-1.99478	-0.0764404	0.041372	1.99668	1.99571e-14	-5.89238e-16	1.99668	3.03554	208.158	182.195	1.18728	NaN	0.089221	0.0761979	7.06478	1.07236	-4.48579	0.0849228	1	245.25	108	241	534	1083	2640	NaN	-0.00828652	1.01528	-7.83722	1.03031	2.35656	1.19828	4.50243	1.19828	0.0533747	1.19828	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	9	10	0	4	7	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.057907	0.082274	0.0122149	0.0665642	0.083934	3.35962	NaN	NaN	-0.00727383	0.00450243	0.0533747	NaN	NaN	12.2	473.598	25.0602	19.3829	93.9329	2632.97	1	24.8667	11.8112	390.432	-11057.2	-10.182	0.0347272	0	89.8474	16207.4	0	60.1	60.4	-16.278	-12.3237	0.33982	NaN	-1.84563	-4761.62	294.509	292.989	21.3713	21.4185	293.804	NaN	5	98.7256	1.02127	125
DATA	2023-07-24T010000_smart3-00184.ghg	2023-07-24	01:30:00	205.0624	0	18000	18000	-0.00836588	0	NaN	-6.06533	0	NaN	1.14522	0	NaN	5.53796	1	NaN	0.0259299	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.5767e-11	-1.28454e-12	NaN	NaN	18.4836	501.3	514.149	0.1	0	921.452	24.9909	25.6315	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	298.078	293.903	90095.8	1.05788	1019.42	0.0271212	0.00168026	0.0166046	2252.18	2442.17	0.0156962	92.2207	189.983	292.558	-1.7007	-0.0340247	0.035042	1.7014	-1.2481e-14	-1.39404e-15	1.7014	3.15091	208.452	181.146	1.18014	NaN	0.088928	0.108909	9.41362	0.804791	-5.29619	0.063245	1	178.225	78	175	386	781	1896	NaN	-0.00826399	1.01233	-5.8687	1.02369	1.63315	1.16057	5.06533	1.16057	0.0369775	1.16057	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	3	8	0	5	3	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.129348	0.0748746	0.013596	0.0599289	0.136286	2.74838	NaN	NaN	-0.00544192	0.00506533	0.0369775	NaN	NaN	12.1959	501.295	24.9909	19.3341	93.8292	4153.47	1	24.6	11.8258	397.191	-11059.1	-10.19	0.0346986	0	91.8801	16216.5	0	60.1	60.4	-15.558	-11.9748	0.340808	NaN	-1.38504	-4761.62	294.191	292.934	21.0516	21.0782	293.834	NaN	5	99.0925	0.769058	091
DATA	2023-07-24T013000_smart3-00184.ghg	2023-07-24	02:00:00	205.0833	0	18000	18000	-0.0266182	0	NaN	-19.483	0	NaN	14.4772	0	NaN	15.3223	0	NaN	0.327894	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.30584e-10	-6.57243e-12	NaN	NaN	18.3705	498.929	511.78	0.1	0	924.607	25.1117	25.7585	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	298.399	294.233	90070.7	1.05634	1019.5	0.0271593	0.0212475	0.0166614	2262.43	2492.26	0.0157727	90.7784	229.826	292.631	-2.1183	0.727309	0.0896147	2.24148	-3.53425e-15	-7.10836e-15	2.24148	3.72943	229.303	161.05	2.29131	NaN	0.15874	0.24397	16.6657	0.454586	-1.34577	0.113967	1	98.7927	43	96	209	417	993	5246	-0.0263585	1.00985	-18.3351	1.01855	14.8552	1.11904	14.5555	1.11904	0.336456	1.11904	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	3	3	0	8	10	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.223778	0.22635	0.0378126	0.0933914	0.0770317	19.9434	NaN	NaN	-0.0170251	0.0145555	0.336456	NaN	NaN	12.19	498.926	25.1117	19.4069	93.8671	12002.9	1	24.47	11.8197	405.637	-11057.5	-13.7627	0.0347268	0	91.0412	16224.3	0	60.1	60.4	-16.5671	-13.3925	0.339778	NaN	-0.454072	-4761.62	294.49	293.382	21.3193	21.2435	293.839	NaN	5	117.686	1.41468	138
DATA	2023-07-24T020000_smart3-00184.ghg	2023-07-24	02:30:00	205.1041	0	18000	18000	-0.0589093	1	NaN	-20.697	1	NaN	17.5204	1	NaN	11.4866	1	NaN	0.397001	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.60984e-10	-8.31233e-12	NaN	NaN	17.7495	482.862	495.208	0.1	0	916.491	24.9324	25.5699	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	298.746	294.705	90066.4	1.05467	1019.4	0.0272042	0.0257257	0.0165152	2246.17	2565.42	0.015659	87.5556	319.253	292.515	-1.53082	0.8737	0.0759805	1.76424	7.58132e-14	-9.06973e-15	1.76424	4.21627	246.903	150.285	2.46832	NaN	0.236338	0.966429	51.771	0.146337	-1.18131	0.0814533	0	143.187	-21.7292	49.1515	122.394	186.659	261.792	392.211	-0.0584692	1.00753	-19.4614	1.01075	18.4624	1.06842	11.6567	1.06842	0.418345	1.06842	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	800001099	899999999	899999999	89999	89999	89	89	0	3	0	5	7	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.67362	0.210152	0.0490878	0.0656353	0.0540457	51.0589	NaN	NaN	-0.0181013	0.0116567	0.418345	NaN	NaN	12.19	482.86	24.9323	19.2908	93.9909	6754.66	1	24.5	11.8218	406.191	-11054.1	-10.6837	0.0348077	0	86.5962	16221.2	0	60.1	60.4	-15.3684	-12.6553	0.340522	NaN	-0.767348	-4761.62	295.065	293.646	21.9016	21.8314	293.85	NaN	5	137.066	1.47237	060
DATA	2023-07-24T023000_smart3-00184.ghg	2023-07-24	03:00:00	205.1249	0	18000	18000	0.0110256	1	NaN	-2.75494	1	NaN	-4.62776	1	NaN	3.96442	2	NaN	-0.104828	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.16549e-11	-4.54367e-12	NaN	NaN	18.316	497.696	510.286	-0.1	0	907.992	24.6726	25.2967	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	298.514	294.372	90068.9	1.056	1019.25	0.0271727	-0.00679288	0.016362	2222.83	2513.61	0.0154943	88.4316	290.784	292.347	0.947471	0.43703	0.0790766	1.0464	5.24154e-15	-5.00408e-15	1.0464	3.0194	2.55723	24.7619	4.33399	NaN	0.102181	0.245684	31.4323	0.241026	0.595307	0.0250494	1	55.9964	24	53	113	220	504	2443	0.0109256	1.00916	-2.98768	1.01255	-3.84091	1.08438	3.8509	1.08438	-0.0870046	1.08438	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	0	0	3	0	0	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.251929	0.233568	0.00587131	0.124363	0.138098	117.224	NaN	NaN	-0.00277581	0.0038509	-0.0870046	NaN	NaN	12.1884	497.691	24.6727	19.1225	93.97	2146.56	1	24.5	11.8259	387.608	-11055.3	-9.40237	0.0347543	0	86.9587	16202.1	0	60.1	60.4	-14.7633	-12.4574	0.340253	NaN	-2.48897	-4761.62	294.821	292.89	21.6958	21.6205	293.85	NaN	5	257.393	0.474792	238
DATA	2023-07-24T030000_smart3-00184.ghg	2023-07-24	03:30:00	205.1458	0	18000	18000	-0.00563782	2	NaN	-4.403	1	NaN	0.881985	2	NaN	3.98838	2	NaN	0.0199795	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.21193e-12	-2.92903e-13	NaN	NaN	18.3001	497.36	509.304	-0.1	0	862.879	23.4514	24.0145	-0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	298.754	294.407	90061.5	1.05628	1018.55	0.0271781	0.00129467	0.0155491	2112.63	2518.88	0.0147205	83.8717	406.253	291.534	-0.226392	1.40408	0.0843423	1.42472	2.06137e-14	-3.39449e-16	1.42472	2.92437	291.278	99.1594	3.39385	NaN	0.0730575	0.465225	7.18632	1.05423	-4.99215	0.0560171	1	195.253	86	191	419	844	2032	NaN	-0.00556089	1.01383	-4.24612	1.02669	1.17298	1.18569	3.56992	1.18569	0.0265714	1.18569	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	5	0	1	7	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.829357	0.0956989	0.00539434	0.51245	0.55501	505.709	NaN	NaN	-0.00394665	0.00356992	0.0265714	NaN	NaN	12.17	497.343	23.4507	18.3055	94.0217	2814.43	1	24.23	11.828	387.451	-11057.8	-8.9748	0.034673	0	86.1977	16204.8	0	60.1	60.4	-14.6341	-12.2913	0.340803	NaN	-2.05495	-4761.62	294.425	292.361	21.2726	21.2213	293.85	NaN	5	197.962	0.668842	057
DATA	2023-07-24T033000_smart3-00184.ghg	2023-07-24	04:00:00	205.1666	0	18000	18000	-0.00270108	1	NaN	-3.8084	1	NaN	-0.782547	2	NaN	6.97357	1	NaN	-0.0177251	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.60257e-11	2.49282e-12	NaN	NaN	19.2526	523.13	535.597	0.1	0	856.631	23.2763	23.831	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	298.201	294.304	90050.3	1.05659	1018.45	0.0271719	-0.00114859	0.0154365	2096.6	2503.04	0.0146097	83.7621	406.442	291.412	0.536082	1.32449	0.135577	1.43529	7.98086e-14	2.91003e-15	1.43529	2.18365	323.033	67.9646	5.42024	NaN	0.0505609	0.192726	2.75365	2.75126	4.86667	0.0699973	1	442.356	194	426	920	1819	4262	NaN	-0.00263154	1.02642	-3.65827	1.05302	-0.227276	1.36194	5.29713	1.36194	-0.00514792	1.36194	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000199	899999999	899999999	89999	89999	89	89	11	1	1	4	2	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0743855	0.308248	0.00281844	0.301209	0.745598	207.867	NaN	NaN	-0.00339961	0.00529713	-0.00514792	NaN	NaN	12.1659	523.105	23.2763	18.1872	94.0431	3090.46	1	23.85	11.8114	388.765	-11059	-13.7018	0.0346501	0	86.0349	16207.7	0	60.1	60.4	-16.5509	-13.9397	0.342419	NaN	-1.6475	-4761.62	294.191	292.16	21.0616	21.2599	293.85	NaN	5	204.714	0.66106	129
DATA	2023-07-24T040000_smart3-00184.ghg	2023-07-24	04:30:00	205.1874	0	18000	18000	-0.00232623	2	NaN	-7.7366	1	NaN	10.3501	1	NaN	18.3899	1	NaN	0.234299	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.70617e-10	7.41559e-12	NaN	NaN	19.1886	520.424	532.468	-0.1	0	834.003	22.6194	23.1429	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	298.041	293.704	90033.9	1.05882	1018.06	0.0271215	0.0151826	0.0150287	2037.06	2412.32	0.0141938	84.4438	375.266	290.954	0.778615	1.51474	0.131401	1.7082	4.97178e-14	8.89156e-15	1.7082	3.0315	329.452	62.7957	4.41176	NaN	0.0468721	0.203088	1.07966	7.017	-0.747492	0.153122	1	709.882	310	663	1380	2625	5808	NaN	-0.00220875	1.05319	-6.63299	1.10604	6.49325	1.69656	11.044	1.69656	0.14699	1.69656	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000199	899999999	899999999	89999	89999	89	89	8	0	3	3	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.312397	0.0898575	0.00392178	0.32114	1.02491	172.603	NaN	NaN	-0.00615335	0.011044	0.14699	NaN	NaN	12.16	520.397	22.619	17.7293	93.9694	2191.46	1	23.52	11.8212	370.328	-11059.5	-13.0095	0.0346209	0	83.5955	16189	0	60.1	60.4	-16.8245	-14.0864	0.342461	NaN	-2.44002	-4761.62	294.114	291.434	20.9731	20.8373	293.85	NaN	5	217.266	0.792774	247
DATA	2023-07-24T043000_smart3-00184.ghg	2023-07-24	05:00:00	205.2083	0	18000	18000	-0.00287415	2	NaN	-11.1331	1	NaN	-2.597	2	NaN	9.11046	1	NaN	-0.0587255	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.80816e-10	-1.14517e-11	NaN	NaN	20.3682	550.267	562.898	0	0	830.616	22.4399	22.955	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.104	292.578	90039	1.06303	1017.94	0.027016	-0.00380541	0.0149677	2021.01	2249.88	0.0140802	89.8274	228.871	290.829	1.34807	1.49668	0.17615	2.02197	3.61746e-15	-1.3787e-14	2.02197	5.39196	340.673	47.9904	4.99783	NaN	0.0519973	0.53466	1.02428	7.39642	4.28689	0.197863	1	809.645	353	756	1577	3002	6652	NaN	-0.0027061	1.0621	-10.0298	1.12298	-0.699802	1.78199	5.53258	1.78199	-0.0158245	1.78199	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800100099	811100099	899999999	899999999	89999	89999	89	89	4	1	0	12	7	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.850055	0.204325	0.0149402	0.0881706	0.680977	75.6337	NaN	NaN	-0.00926884	0.00553258	-0.0158245	NaN	NaN	12.1302	550.263	22.44	17.6048	93.7782	1658.61	1	23.17	11.8168	362.692	-11065.6	-14.7303	0.03453	0	88.0416	16186.9	0	60.1	60.4	-18.4477	-15.4039	0.343008	NaN	-3.01529	-4761.62	293.053	290.941	19.9141	20.039	293.85	NaN	5	225.776	1.20917	116
