DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_2	LOGGERPOWER_1_1_1	LOGGERTEMP_1_1_1	VIN_1_1_1	LWIN_1_1_2	LWOUT_1_1_2	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_2	SHFHEATER_1_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHF_1_1_1	SHF_2_1_1	SWC_2_1_1	SWIN_1_1_2	SWOUT_1_1_2	TA_1_1_1	TC_1_1_2	TS_2_1_1	VERSION_1_1_1	WD_1_1_1	WS_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[K]	[K]	[OTHER]	[Degrees_past_North]	[m/s]	237
DATA	2024-04-18T233000_smart3-00184.ghg	2024-04-19	00:00:00	110	0	18000	18000	-0.018677	0	NaN	-8.411	0	NaN	5.60548	0	NaN	1.8762	0	NaN	0.124438	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.81815e-12	9.91288e-14	NaN	NaN	17.4352	436.286	438.713	0	0	221.067	5.53181	5.56258	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	278.668	273.292	90801.7	1.15509	1008.14	0.0250232	0.00806359	0.00398363	502.433	615.736	0.00344877	81.5988	113.303	270.486	0.0330494	2.97213	0.14427	2.97581	-1.58807e-14	4.4841e-16	2.97581	4.28642	300.335	89.3629	2.77883	NaN	0.127159	0.119481	19.8832	0.303523	-1.50049	0.0568021	1	148.666	65	146	320	646	1560	8533	-0.0184727	1.01106	-7.94812	1.02202	5.15842	1.13168	2.0171	1.13168	0.114514	1.13168	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	5	4	0	7	8	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.139046	0.0737294	0.0261875	0.0662452	0.00444721	9.41558	NaN	NaN	-0.00682538	0.0020171	0.114514	NaN	NaN	12.08	436.286	5.53184	-2.72679	95.6816	NaN	1	3.54	11.8278	NaN	NaN	-6.91775	0	83.0823	NaN	0	63.5298	52.1772	-269.867	-7.8476	0.0139833	NaN	NaN	273.772	273.021	276.732	5	166.995	2.18692	104
DATA	2024-04-19T000000_smart3-00184.ghg	2024-04-19	00:30:00	110.0208	0	18000	18000	-0.0178967	0	NaN	-7.54621	0	NaN	4.68719	0	NaN	1.06863	0	NaN	0.104065	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.53024e-11	7.14912e-13	NaN	NaN	17.344	434.184	436.634	0	0	224.211	5.61283	5.64451	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	278.822	273.418	90805.5	1.15457	1008.19	0.0250337	0.00674341	0.00404028	509.812	621.392	0.00349939	82.0436	111.58	270.683	0.111825	3.27797	0.145007	3.28308	-3.87527e-15	3.18857e-15	3.28308	4.41132	301.978	88.0462	2.53147	NaN	0.124502	0.112819	20.8026	0.290108	-1.60997	0.0520704	1	171.753	76	168	371	749	1814	9973	-0.0176949	1.01141	-7.14178	1.02294	4.32315	1.13351	1.26569	1.13351	0.0959825	1.13351	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	7	4	0	11	16	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.116542	0.0750115	0.0340833	0.0125645	0.00117314	8.6888	NaN	NaN	-0.00613543	0.00126569	0.0959825	NaN	NaN	12.0669	434.184	5.61285	-2.53024	95.6735	NaN	1	3.5	11.8058	NaN	NaN	-9.37721	0	82.7574	NaN	0	63.5298	52.1772	-283.574	-7.3241	0.0131111	NaN	NaN	273.999	273.074	276.57	5	169.859	2.6667	117
DATA	2024-04-19T003000_smart3-00184.ghg	2024-04-19	01:00:00	110.0416	0	18000	18000	-0.0243776	0	NaN	-8.59398	0	NaN	5.40269	0	NaN	0.855635	0	NaN	0.119943	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.12797e-11	-5.38223e-13	NaN	NaN	17.3469	434.182	436.654	0	0	226.177	5.66105	5.69328	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	278.825	273.348	90798.2	1.15475	1008.21	0.0250293	0.00777228	0.00407571	514.151	618.255	0.00352952	83.1617	104.103	270.797	-0.0289558	3.41265	0.157659	3.41641	-1.78448e-14	-2.37966e-15	3.41641	4.85252	299.477	90.4861	2.64499	NaN	0.145295	0.130916	29.0306	0.207884	-1.59068	0.0508045	1	139.833	61	135	292	580	1364	7043	-0.024133	1.01014	-8.14821	1.02022	5.05772	1.11656	1.13921	1.11656	0.112284	1.11656	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	7	1	0	6	11	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.142634	0.0792978	0.0399002	0.0177725	0.00127731	2.97633	NaN	NaN	-0.00699877	0.00113921	0.112284	NaN	NaN	12.06	434.181	5.66107	-2.41528	95.6654	NaN	1	3.53	11.822	NaN	NaN	-6.08513	0	83.3712	NaN	0	63.5298	52.1772	-299.683	-7.4238	0.0130111	NaN	NaN	274.02	272.767	276.519	5	166.495	3.01024	063
DATA	2024-04-19T010000_smart3-00184.ghg	2024-04-19	01:30:00	110.0624	0	18000	18000	-0.0167334	0	NaN	-12.8347	0	NaN	0.320069	1	NaN	1.01649	0	NaN	0.00710127	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.06074e-11	2.62155e-13	NaN	NaN	17.4391	435.481	437.907	0	0	221.85	5.53993	5.57079	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	278.327	272.689	90788.9	1.15748	1008.14	0.0249715	0.000460162	0.00399774	503.099	589.301	0.00345384	85.3721	86.2023	270.504	0.159965	3.201	0.148316	3.20842	-3.39093e-14	1.18168e-15	3.20842	4.27293	303.08	87.1391	2.64956	NaN	0.120236	0.119144	11.0146	0.547908	-40.0999	0.0914785	1	207.269	91	206	462	953	2373	NaN	-0.0164704	1.01597	-12.4177	1.03251	0.606922	1.18898	1.44393	1.18898	0.0134656	1.18898	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	7	2	0	2	3	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.123872	0.0892334	0.0251822	0.0860016	0.000826682	7.62898	NaN	NaN	-0.0106417	0.00144393	0.0134656	NaN	NaN	12.0305	435.481	5.53998	-2.70876	95.6558	NaN	1	3.37	11.8253	NaN	NaN	-5.75553	0	84.9429	NaN	0	63.5298	52.1772	-312.603	-8.13555	0.0126778	NaN	NaN	273.469	271.237	276.29	5	169.523	2.63102	221
DATA	2024-04-19T013000_smart3-00184.ghg	2024-04-19	02:00:00	110.0833	0	18000	18000	-0.0128349	1	NaN	-5.1915	1	NaN	2.32362	1	NaN	1.06389	1	NaN	0.0515531	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.81601e-11	9.87422e-13	NaN	NaN	17.4706	436.446	438.866	0	0	220.711	5.51376	5.54433	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	278.042	272.684	90749.9	1.15701	1008.12	0.0249818	0.00334064	0.00397722	500.508	589.088	0.00343749	84.9631	88.5808	270.435	1.11169	2.26419	0.136366	2.52607	3.14495e-14	4.47382e-15	2.52607	3.47216	326.86	63.8495	3.09453	NaN	0.105324	0.162333	18.2981	0.329815	-2.23423	0.0422583	1	156.364	69	154	339	687	1668	9245	-0.0126986	1.01074	-4.9683	1.02104	2.18617	1.13128	1.1726	1.13128	0.0485036	1.13128	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	12	7	1	2	1	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0863047	0.226527	0.0118338	0.0250783	0.00119128	3.92972	NaN	NaN	-0.00425947	0.0011726	0.0485036	NaN	NaN	12.0203	436.446	5.51379	-2.77771	95.6482	NaN	1	2.96	11.8237	NaN	NaN	-6.18706	0	86.3043	NaN	0	63.5298	52.1772	-320.083	-7.97242	0.0111389	NaN	NaN	273.149	272.064	275.985	5	193.062	1.56134	152
DATA	2024-04-19T020000_smart3-00184.ghg	2024-04-19	02:30:00	110.1041	0	18000	18000	-0.0187511	0	NaN	-4.99142	0	NaN	3.92091	0	NaN	1.04635	0	NaN	0.087021	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.45504e-11	1.89072e-13	NaN	NaN	17.4138	435.69	438.171	0	0	226.279	5.66149	5.69373	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	278.386	273.042	90730.6	1.15518	1008.21	0.0250199	0.00563896	0.00407756	513.808	604.656	0.00352979	84.9754	90.8473	270.788	1.61108	1.83304	0.161299	2.44573	-2.04385e-14	8.35569e-16	2.44573	3.45763	341.425	48.6874	3.78146	NaN	0.127405	0.118186	33.6823	0.179174	-1.27303	0.0336383	1	105.829	46	101	217	424	981	4863	-0.0185932	1.00849	-4.71127	1.01568	3.69544	1.09831	1.16703	1.09831	0.082017	1.09831	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	8	4	1	6	4	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0859879	0.12623	0.0241539	0.0665105	0.00251981	2.1732	NaN	NaN	-0.00404516	0.00116703	0.082017	NaN	NaN	12	435.69	5.6615	-2.42413	95.6379	NaN	1	2.9	11.824	NaN	NaN	-7.51342	0	86.3261	NaN	0	63.5298	52.1772	-318.991	-8.8053	0.01105	NaN	NaN	273.542	272.906	275.743	5	208.755	1.3884	164
DATA	2024-04-19T023000_smart3-00184.ghg	2024-04-19	03:00:00	110.1249	0	18000	18000	-0.0201695	1	NaN	-3.4204	0	NaN	4.04321	0	NaN	0.946352	0	NaN	0.0897547	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.67392e-11	-3.53012e-13	NaN	NaN	17.4095	436.01	438.534	0	0	229.841	5.7562	5.78953	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	278.655	273.27	90717.9	1.15402	1008.26	0.0250443	0.0058161	0.00414173	522.331	614.767	0.00358897	84.9641	92.4358	271.01	1.78203	1.89055	0.171106	2.60367	-3.08651e-15	-1.5359e-15	2.60367	3.6885	343.234	46.6924	3.76805	NaN	0.132203	0.0865907	54.9128	0.109901	-0.845962	0.0222356	1	106.065	46	99	208	397	882	4022	-0.0200157	1.00768	-3.16154	1.01369	3.81126	1.08397	1.0097	1.08397	0.0846059	1.08397	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	2	4	1	18	13	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0794052	0.0689641	0.0248121	0.0281899	0.00128552	5.63307	NaN	NaN	-0.00271714	0.0010097	0.0846059	NaN	NaN	11.9737	436.009	5.75622	-2.20242	95.6322	NaN	1	3.16	11.8275	NaN	NaN	-5.69066	0	86.0688	NaN	0	63.5298	52.1772	-317.444	-9.25841	0.0113111	NaN	NaN	273.782	273.183	275.65	5	210.081	1.57561	160
DATA	2024-04-19T030000_smart3-00184.ghg	2024-04-19	03:30:00	110.1458	0	18000	18000	-0.0133246	1	NaN	-3.62055	1	NaN	1.53062	2	NaN	0.68432	1	NaN	0.0339888	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.4089e-11	-1.25802e-12	NaN	NaN	17.3979	436.19	438.749	0	0	232.619	5.83209	5.86631	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	279.012	273.606	90731.3	1.15274	1008.31	0.0250714	0.00220247	0.0041918	529.295	629.902	0.00363639	84.0282	100.607	271.19	0.851539	1.70332	0.111869	1.90759	-1.572e-13	-5.40806e-15	1.90759	3.14603	326.686	63.4381	3.36198	NaN	0.107513	0.1858	27.9054	0.216266	-2.36542	0.0289727	1	97.369	43	94	202	398	930	4719	-0.0132104	1.00864	-3.48671	1.01536	1.48996	1.10134	0.787735	1.10134	0.033086	1.10134	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	0	3	1	0	1	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0550407	0.302991	0.0135689	0.0165982	0.00122734	10.4203	NaN	NaN	-0.00299979	0.000787735	0.033086	NaN	NaN	11.96	436.19	5.83209	-2.02367	95.6322	NaN	1	3.27	11.8269	NaN	NaN	-6.18176	0	85.3367	NaN	0	63.5298	52.1772	-318.82	-9.75591	0.0117333	NaN	NaN	274.095	273.515	275.65	5	197.626	0.94758	035
DATA	2024-04-19T033000_smart3-00184.ghg	2024-04-19	04:00:00	110.1666	0	18000	18000	-0.00802297	0	NaN	-2.821	0	NaN	4.4276	0	NaN	0.988457	0	NaN	0.0983235	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.48024e-11	3.38142e-13	NaN	NaN	17.4387	437.246	439.868	0	0	237.75	5.96118	5.99692	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	279.039	273.654	90740.3	1.15259	1008.38	0.0250733	0.00637136	0.00428426	541.064	632.075	0.00371706	85.6012	91.0112	271.488	0.504269	2.04133	0.0978044	2.10496	1.48516e-14	1.42226e-15	2.10496	3.18044	314.105	76.124	2.66313	NaN	0.0834314	0.0676951	16.738	0.360557	-0.637141	0.0290919	1	170.724	75	168	373	759	1858	NaN	-0.00794168	1.01024	-2.54268	1.01956	3.98843	1.1273	0.975899	1.1273	0.0885709	1.1273	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	2	1	0	12	0	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0772166	0.0443525	0.0138211	0.0117047	0.00143365	6.22053	NaN	NaN	-0.00218771	0.000975899	0.0885709	NaN	NaN	11.9303	437.246	5.96116	-1.72514	95.6191	NaN	1	3.51	11.8256	NaN	NaN	-7.67756	0	86.5669	NaN	0	63.5298	52.1772	-319.676	-10.1953	0.0122222	NaN	NaN	274.165	273.599	275.721	5	181.651	1.11363	060
DATA	2024-04-19T040000_smart3-00184.ghg	2024-04-19	04:30:00	110.1874	0	18000	18000	-0.0204895	0	NaN	-4.70244	0	NaN	7.25535	0	NaN	1.1458	0	NaN	0.161137	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.41883e-11	-1.01812e-12	NaN	NaN	17.4011	436.407	439.036	0	0	238.803	5.98901	6.02509	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	279.204	273.77	90757.1	1.15231	1008.4	0.0250793	0.0104417	0.00430323	543.691	637.432	0.00373445	85.294	93.7408	271.554	0.893722	2.47334	0.136964	2.63342	5.82362e-14	-4.26344e-15	2.63342	3.81097	319.855	70.1331	2.98129	NaN	0.133347	0.130885	41.0018	0.147189	-0.648133	0.0303488	1	107.97	47	102	217	422	960	4611	-0.0203242	1.00813	-4.25335	1.01494	6.75078	1.09185	1.22058	1.09185	0.149931	1.09185	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	4	3	1	17	7	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.116011	0.117843	0.0279156	0.00453435	0.000757674	5.81046	NaN	NaN	-0.00366042	0.00122058	0.149931	NaN	NaN	11.9268	436.407	5.98901	-1.65932	95.6159	NaN	1	3.55	11.8229	NaN	NaN	-13.8289	0	86.2626	NaN	0	63.5298	52.1772	-319.171	-10.214	0.0124556	NaN	NaN	274.287	273.761	275.75	5	187.272	1.74238	021
DATA	2024-04-19T043000_smart3-00184.ghg	2024-04-19	05:00:00	110.2082	0	18000	18000	-0.0134367	0	NaN	-3.06595	0	NaN	5.21739	0	NaN	1.26444	0	NaN	0.115897	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.35936e-11	-1.02453e-12	NaN	NaN	17.3641	435.856	438.516	0	0	241.734	6.06776	6.1048	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	279.491	273.967	90744	1.15128	1008.44	0.025101	0.00751012	0.00435605	550.761	646.571	0.00378367	85.1818	95.8098	271.729	1.26403	1.90731	0.126101	2.29162	-4.23794e-15	-4.23827e-15	2.29162	3.57183	333.657	56.4665	3.15442	NaN	0.108033	0.153263	33.4384	0.180481	-0.58764	0.0244442	1	120.485	53	115	248	487	1129	5644	-0.0133263	1.00829	-2.74803	1.01497	4.83122	1.09509	1.26135	1.09509	0.107319	1.09509	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	0	1	0	21	10	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.110218	0.171626	0.0246826	0.00739143	0.000438822	3.46051	NaN	NaN	-0.00236696	0.00126135	0.107319	NaN	NaN	11.92	435.856	6.06777	-1.4835	95.6118	NaN	1	3.78	11.8224	NaN	NaN	-9.15086	0	86.1936	NaN	0	63.5298	52.1772	-320.083	-9.89684	0.0127444	NaN	NaN	274.468	274.008	275.841	5	200.069	1.31669	139
